option,season,bucket_kind,bucket,n,avg_pick_prob,win_rate,roi
constant_14_sigma,2024,edge,"[0.04, 0.06)",645,0.5733328010082461,0.5193798449612403,-0.008456659619450316
constant_14_sigma,2024,edge,"[0.06, 0.08)",468,0.5931549313042945,0.5213675213675214,-0.004662004662004658
constant_14_sigma,2024,edge,"[0.08, 0.1)",359,0.6135822303417137,0.5069637883008357,-0.03216004051658648
constant_14_sigma,2024,edge,"[0.1, 0.15)",455,0.6442680625671343,0.512087912087912,-0.022377622377622367
constant_14_sigma,2024,edge,"[0.15, 1.0)",347,0.7461384852741366,0.49279538904899134,-0.05920880272465286
hgbr_residual_log_scalar,2024,probability,"[0.5, 0.55)",3142,0.5227781778600642,0.5041374920432845,-0.03755569700827498
hgbr_residual_log_scalar,2024,probability,"[0.55, 0.6)",1498,0.5706270676422175,0.5100133511348465,-0.02633814783347493
hgbr_residual_log_scalar,2024,probability,"[0.6, 0.65)",427,0.6195164346984539,0.5245901639344263,0.0014903129657228024
hgbr_residual_log_scalar,2024,probability,"[0.65, 0.7)",128,0.6711265815492774,0.484375,-0.07528409090909088
hgbr_residual_log_scalar,2024,probability,"[0.7, 0.75)",61,0.7231598720877476,0.45901639344262296,-0.12369597615499256
hgbr_residual_log_scalar,2024,probability,"[0.75, 0.8)",37,0.7711912423633084,0.4594594594594595,-0.12285012285012287
hgbr_residual_log_scalar,2024,probability,"[0.8, 0.85)",9,0.8229084911859909,0.6666666666666666,0.2727272727272727
hgbr_residual_log_scalar,2024,probability,"[0.85, 1.01)",7,0.8867471200691808,0.7142857142857143,0.36363636363636365
